,word,frequency,character,season,order
1,dwight,13,Angela,3,2
2,know,11,Angela,3,3
3,thank,9,Angela,3,4
4,think,9,Angela,3,5
5,would,9,Angela,3,6
6,party,9,Angela,3,7
7,get,8,Angela,3,8
8,michael,8,Angela,3,9
9,us,8,Angela,3,10
0,party,19,Angela,4,1
1,sprinkles,12,Angela,4,2
2,know,9,Angela,4,3
3,ca,8,Angela,4,4
4,right,7,Angela,4,5
5,time,6,Angela,4,6
6,give,6,Angela,4,7
7,would,6,Angela,4,8
8,put,6,Angela,4,9
9,want,6,Angela,4,10
0,know,15,Angela,5,1
1,cat,11,Angela,5,2
2,mean,10,Angela,5,3
3,want,10,Angela,5,4
4,come,10,Angela,5,5
5,kevin,10,Angela,5,6
6,bad,10,Angela,5,7
7,michael,8,Angela,5,8
8,good,8,Angela,5,9
9,get,8,Angela,5,10
0,going,7,Angela,6,1
1,day,7,Angela,6,2
2,know,6,Angela,6,3
3,get,6,Angela,6,4
4,see,6,Angela,6,5
5,us,6,Angela,6,6
6,contract,6,Angela,6,7
7,yes,5,Angela,6,8
8,michael,5,Angela,6,9
9,dwight,5,Angela,6,10
0,would,11,Angela,7,1
1,think,10,Angela,7,2
2,know,10,Angela,7,3
3,senator,10,Angela,7,4
4,want,9,Angela,7,5
5,pam,9,Angela,7,6
6,yes,7,Angela,7,7
7,dwight,7,Angela,7,8
8,one,6,Angela,7,9
9,michael,5,Angela,7,10
0,dwight,13,Angela,8,1
1,pam,9,Angela,8,2
2,know,9,Angela,8,3
3,get,8,Angela,8,4
4,phillip,7,Angela,8,5
5,think,7,Angela,8,6
6,yes,7,Angela,8,7
7,stop,7,Angela,8,8
8,senator,6,Angela,8,9
9,fine,6,Angela,8,10
0,dwight,26,Angela,9,1
1,know,20,Angela,9,2
2,god,19,Angela,9,3
3,kevin,18,Angela,9,4
4,don���t,17,Angela,9,5
5,oscar,16,Angela,9,6
6,would,15,Angela,9,7
7,need,13,Angela,9,8
8,want,13,Angela,9,9
9,senator,13,Angela,9,10
0,michael,11,Oscar,1,1
1,know,5,Oscar,1,2
2,thank,4,Oscar,1,3
3,want,3,Oscar,1,4
4,right,3,Oscar,1,5
5,year,3,Oscar,1,6
6,charity,3,Oscar,1,7
7,tree,2,Oscar,1,8
8,give,2,Oscar,1,9
9,ok,2,Oscar,1,10
0,michael,12,Oscar,2,1
1,know,9,Oscar,2,2
2,good,8,Oscar,2,3
3,got,8,Oscar,2,4
4,creed,6,Oscar,2,5
5,towards,6,Oscar,2,6
6,think,5,Oscar,2,7
7,last,5,Oscar,2,8
8,going,5,Oscar,2,9
9,'d,5,Oscar,2,10
0,gay,9,Oscar,3,1
1,think,7,Oscar,3,2
2,michael,6,Oscar,3,3
3,would,4,Oscar,3,4
4,office,4,Oscar,3,5
5,come,4,Oscar,3,6
6,going,4,Oscar,3,7
7,angela,4,Oscar,3,8
8,--,4,Oscar,3,9
9,roy,4,Oscar,3,10
0,michael,11,Oscar,4,1
1,know,8,Oscar,4,2
2,good,4,Oscar,4,3
3,could,4,Oscar,4,4
4,things,4,Oscar,4,5
5,think,4,Oscar,4,6
6,totally,4,Oscar,4,7
7,going,3,Oscar,4,8
8,thing,3,Oscar,4,9
9,big,3,Oscar,4,10
0,michael,14,Oscar,5,1
1,think,12,Oscar,5,2
2,know,11,Oscar,5,3
3,want,10,Oscar,5,4
4,--,9,Oscar,5,5
5,go,9,Oscar,5,6
6,get,9,Oscar,5,7
7,good,8,Oscar,5,8
8,say,7,Oscar,5,9
9,dollars,7,Oscar,5,10
0,michael,11,Oscar,6,1
1,right,11,Oscar,6,2
2,know,10,Oscar,6,3
3,think,9,Oscar,6,4
4,jim,9,Oscar,6,5
5,would,8,Oscar,6,6
6,could,8,Oscar,6,7
7,mean,7,Oscar,6,8
8,-,6,Oscar,6,9
9,little,5,Oscar,6,10
0,michael,15,Oscar,7,1
1,yes,11,Oscar,7,2
2,know,10,Oscar,7,3
3,think,9,Oscar,7,4
4,right,9,Oscar,7,5
5,one,9,Oscar,7,6
6,would,7,Oscar,7,7
7,senator,7,Oscar,7,8
8,great,6,Oscar,7,9
9,worth,6,Oscar,7,10
0,andy,15,Oscar,8,1
1,know,13,Oscar,8,2
2,guys,9,Oscar,8,3
3,would,9,Oscar,8,4
4,better,9,Oscar,8,5
5,right,8,Oscar,8,6
6,got,8,Oscar,8,7
7,gay,8,Oscar,8,8
8,kevin,7,Oscar,8,9
9,one,7,Oscar,8,10
0,angela,23,Oscar,9,1
1,kevin,20,Oscar,9,2
2,know,17,Oscar,9,3
3,get,14,Oscar,9,4
4,go,14,Oscar,9,5
5,sorry,13,Oscar,9,6
6,whoa,11,Oscar,9,7
7,dwight,10,Oscar,9,8
8,got,10,Oscar,9,9
9,yes,9,Oscar,9,10
0,maybe,2,Phyllis,1,1
1,could,2,Phyllis,1,2
2,streamers,2,Phyllis,1,3
3,downsizing,1,Phyllis,1,4
4,actually,1,Phyllis,1,5
5,mean,1,Phyllis,1,6
6,decorations,1,Phyllis,1,7
7,stupid,1,Phyllis,1,8
8,forget,1,Phyllis,1,9
9,going,1,Phyllis,1,10
0,michael,9,Phyllis,2,1
1,dwight,5,Phyllis,2,2
2,get,5,Phyllis,2,3
3,room,5,Phyllis,2,4
4,ladies,4,Phyllis,2,5
5,come,4,Phyllis,2,6
6,going,4,Phyllis,2,7
7,time,4,Phyllis,2,8
8,love,4,Phyllis,2,9
9,think,4,Phyllis,2,10
0,michael,12,Phyllis,3,1
1,bob,7,Phyllis,3,2
2,get,7,Phyllis,3,3
3,jim,6,Phyllis,3,4
4,thought,5,Phyllis,3,5
5,know,5,Phyllis,3,6
6,think,5,Phyllis,3,7
7,got,5,Phyllis,3,8
8,vance,4,Phyllis,3,9
9,guy,4,Phyllis,3,10
0,michael,10,Phyllis,4,1
1,get,7,Phyllis,4,2
2,go,5,Phyllis,4,3
3,sorry,5,Phyllis,4,4
4,know,5,Phyllis,4,5
5,ca,5,Phyllis,4,6
6,things,4,Phyllis,4,7
7,one,4,Phyllis,4,8
8,right,4,Phyllis,4,9
9,bob,3,Phyllis,4,10
0,think,14,Phyllis,5,1
1,dwight,14,Phyllis,5,2
2,michael,11,Phyllis,5,3
3,bob,9,Phyllis,5,4
4,know,9,Phyllis,5,5
5,andy,9,Phyllis,5,6
6,party,8,Phyllis,5,7
7,going,8,Phyllis,5,8
8,angela,7,Phyllis,5,9
9,us,7,Phyllis,5,10
0,michael,19,Phyllis,6,1
1,know,12,Phyllis,6,2
2,good,10,Phyllis,6,3
3,ho,9,Phyllis,6,4
4,think,8,Phyllis,6,5
5,get,7,Phyllis,6,6
6,bob,7,Phyllis,6,7
7,mean,6,Phyllis,6,8
8,us,5,Phyllis,6,9
9,time,5,Phyllis,6,10
0,know,14,Phyllis,7,1
1,get,10,Phyllis,7,2
2,michael,7,Phyllis,7,3
3,think,7,Phyllis,7,4
4,good,7,Phyllis,7,5
5,want,6,Phyllis,7,6
6,day,6,Phyllis,7,7
7,got,5,Phyllis,7,8
8,one,5,Phyllis,7,9
9,mean,5,Phyllis,7,10
0,know,7,Phyllis,8,1
1,think,6,Phyllis,8,2
2,one,5,Phyllis,8,3
3,mean,5,Phyllis,8,4
4,andy,4,Phyllis,8,5
5,don���t,4,Phyllis,8,6
6,go,4,Phyllis,8,7
7,can���t,3,Phyllis,8,8
8,nothing,3,Phyllis,8,9
9,guys,3,Phyllis,8,10
0,andy,12,Phyllis,9,1
1,know,8,Phyllis,9,2
2,dwight,8,Phyllis,9,3
3,he���s,7,Phyllis,9,4
4,don���t,6,Phyllis,9,5
5,good,6,Phyllis,9,6
6,think,5,Phyllis,9,7
7,come,5,Phyllis,9,8
8,years,5,Phyllis,9,9
9,mean,5,Phyllis,9,10
0,meeting,2,Kelly,1,1
1,customer,1,Kelly,1,2
2,longest,1,Kelly,1,3
3,one,1,Kelly,1,4
4,think,1,Kelly,1,5
5,thank,1,Kelly,1,6
0,god,11,Kelly,2,1
1,know,10,Kelly,2,2
2,mean,9,Kelly,2,3
3,would,8,Kelly,2,4
4,please,8,Kelly,2,5
5,want,8,Kelly,2,6
6,jim,7,Kelly,2,7
7,cool,6,Kelly,2,8
8,said,6,Kelly,2,9
9,one,6,Kelly,2,10
0,god,26,Kelly,3,1
1,know,17,Kelly,3,2
2,wo,13,Kelly,3,3
3,ryan,12,Kelly,3,4
4,get,11,Kelly,3,5
5,show,10,Kelly,3,6
6,think,10,Kelly,3,7
7,say,10,Kelly,3,8
8,fashion,9,Kelly,3,9
9,sorry,9,Kelly,3,10
0,ryan,8,Kelly,4,1
1,know,8,Kelly,4,2
2,talk,5,Kelly,4,3
3,cuz,5,Kelly,4,4
4,think,4,Kelly,4,5
5,right,4,Kelly,4,6
6,boyfriend,4,Kelly,4,7
7,gon,4,Kelly,4,8
8,god,3,Kelly,4,9
9,would,3,Kelly,4,10
0,michael,10,Kelly,5,1
1,know,9,Kelly,5,2
2,guys,9,Kelly,5,3
3,gon,8,Kelly,5,4
4,would,7,Kelly,5,5
5,going,6,Kelly,5,6
6,get,6,Kelly,5,7
7,hate,6,Kelly,5,8
8,could,6,Kelly,5,9
9,mean,6,Kelly,5,10
0,get,8,Kelly,6,1
1,go,8,Kelly,6,2
2,gon,7,Kelly,6,3
3,ryan,7,Kelly,6,4
4,think,7,Kelly,6,5
5,know,7,Kelly,6,6
6,going,6,Kelly,6,7
7,would,6,Kelly,6,8
8,andy,5,Kelly,6,9
9,want,5,Kelly,6,10
0,know,13,Kelly,7,1
1,ryan,11,Kelly,7,2
2,could,9,Kelly,7,3
3,think,9,Kelly,7,4
4,blah,8,Kelly,7,5
5,time,8,Kelly,7,6
6,right,7,Kelly,7,7
7,go,7,Kelly,7,8
8,get,7,Kelly,7,9
9,michael,7,Kelly,7,10
0,mean,9,Kelly,8,1
1,know,8,Kelly,8,2
2,get,7,Kelly,8,3
3,think,7,Kelly,8,4
4,would,7,Kelly,8,5
5,god,6,Kelly,8,6
6,actually,6,Kelly,8,7
7,guys,5,Kelly,8,8
8,andy,5,Kelly,8,9
9,look,5,Kelly,8,10
0,baby,5,Kelly,9,1
1,drake,3,Kelly,9,2
2,ravi,3,Kelly,9,3
3,don���t,2,Kelly,9,4
4,look,2,Kelly,9,5
5,ryan,2,Kelly,9,6
6,name,2,Kelly,9,7
7,obsessed,2,Kelly,9,8
8,cute,2,Kelly,9,9
9,go,2,Kelly,9,10
0,hi,3,Toby,1,1
1,birthday,2,Toby,1,2
2,card,2,Toby,1,3
3,go,2,Toby,1,4
4,bishop,2,Toby,1,5
5,going,1,Toby,1,6
6,sit,1,Toby,1,7
7,circle,1,Toby,1,8
8,indian,1,Toby,1,9
9,style,1,Toby,1,10
0,michael,17,Toby,2,1
1,know,10,Toby,2,2
2,think,8,Toby,2,3
3,need,6,Toby,2,4
4,one,6,Toby,2,5
5,ca,6,Toby,2,6
6,take,5,Toby,2,7
7,go,5,Toby,2,8
8,get,5,Toby,2,9
9,talk,4,Toby,2,10
0,michael,10,Toby,3,1
1,know,10,Toby,3,2
2,right,8,Toby,3,3
3,think,7,Toby,3,4
4,oscar,6,Toby,3,5
5,want,6,Toby,3,6
6,would,5,Toby,3,7
7,going,5,Toby,3,8
8,sorry,5,Toby,3,9
9,dwight,5,Toby,3,10
0,know,20,Toby,4,1
1,michael,11,Toby,4,2
2,could,7,Toby,4,3
3,great,6,Toby,4,4
4,pam,6,Toby,4,5
5,thanks,6,Toby,4,6
6,would,6,Toby,4,7
7,want,6,Toby,4,8
8,'d,6,Toby,4,9
9,get,6,Toby,4,10
0,--,13,Toby,5,1
1,michael,9,Toby,5,2
2,going,7,Toby,5,3
3,doll,7,Toby,5,4
4,right,5,Toby,5,5
5,know,5,Toby,5,6
6,need,5,Toby,5,7
7,gon,4,Toby,5,8
8,costa,3,Toby,5,9
9,thanks,3,Toby,5,10
0,know,15,Toby,6,1
1,get,6,Toby,6,2
2,going,6,Toby,6,3
3,could,6,Toby,6,4
4,michael,6,Toby,6,5
5,good,5,Toby,6,6
6,look,5,Toby,6,7
7,--,5,Toby,6,8
8,wow,4,Toby,6,9
9,think,4,Toby,6,10
0,know,11,Toby,7,1
1,nope,11,Toby,7,2
2,michael,8,Toby,7,3
3,talk,8,Toby,7,4
4,would,7,Toby,7,5
5,something,6,Toby,7,6
6,guys,5,Toby,7,7
7,think,4,Toby,7,8
8,got,4,Toby,7,9
9,ca,4,Toby,7,10
0,know,14,Toby,8,1
1,think,6,Toby,8,2
2,guys,5,Toby,8,3
3,would,5,Toby,8,4
4,little,5,Toby,8,5
5,ca,5,Toby,8,6
6,gon,5,Toby,8,7
7,don���t,5,Toby,8,8
8,right,5,Toby,8,9
9,andy,5,Toby,8,10
0,--,9,Toby,9,1
1,andy,9,Toby,9,2
2,get,7,Toby,9,3
3,gon,7,Toby,9,4
4,know,7,Toby,9,5
5,would,6,Toby,9,6
6,look,6,Toby,9,7
7,don���t,5,Toby,9,8
8,kelly,4,Toby,9,9
9,little,4,Toby,9,10
0,michael,9,Creed,2,1
1,know,6,Creed,2,2
2,good,4,Creed,2,3
3,thought,4,Creed,2,4
4,kids,4,Creed,2,5
5,think,3,Creed,2,6
6,let,3,Creed,2,7
7,undo,3,Creed,2,8
8,devon,3,Creed,2,9
9,back,3,Creed,2,10
0,debbie,6,Creed,3,1
1,brown,6,Creed,3,2
2,one,5,Creed,3,3
3,'ve,5,Creed,3,4
4,got,5,Creed,3,5
5,good,5,Creed,3,6
6,week,4,Creed,3,7
7,know,4,Creed,3,8
8,right,4,Creed,3,9
9,go,4,Creed,3,10
0,creed,5,Creed,4,1
1,get,5,Creed,4,2
2,go,5,Creed,4,3
3,'ve,4,Creed,4,4
4,nobody,4,Creed,4,5
5,want,4,Creed,4,6
6,money,3,Creed,4,7
7,bratton,3,Creed,4,8
8,old,3,Creed,4,9
9,new,3,Creed,4,10
0,boss,4,Creed,5,1
1,want,4,Creed,5,2
2,got,3,Creed,5,3
3,right,3,Creed,5,4
4,gon,3,Creed,5,5
5,guy,2,Creed,5,6
6,things,2,Creed,5,7
7,creed,2,Creed,5,8
8,bratton,2,Creed,5,9
9,one,2,Creed,5,10
0,boss,5,Creed,6,1
1,'ve,4,Creed,6,2
2,man,4,Creed,6,3
3,think,3,Creed,6,4
4,tell,2,Creed,6,5
5,let,2,Creed,6,6
6,scuba,2,Creed,6,7
7,ca,2,Creed,6,8
8,andy,2,Creed,6,9
9,come,2,Creed,6,10
0,love,6,Creed,7,1
1,one,5,Creed,7,2
2,two,5,Creed,7,3
3,creed,4,Creed,7,4
4,good,4,Creed,7,5
5,betty,3,Creed,7,6
6,white,3,Creed,7,7
7,real,3,Creed,7,8
8,cool,3,Creed,7,9
9,know,3,Creed,7,10
0,said,4,Creed,8,1
1,get,4,Creed,8,2
2,long,3,Creed,8,3
3,pam,3,Creed,8,4
4,good,3,Creed,8,5
5,already,2,Creed,8,6
6,us,2,Creed,8,7
7,baby,2,Creed,8,8
8,know,2,Creed,8,9
9,let,2,Creed,8,10
0,good,5,Creed,9,1
1,table,5,Creed,9,2
2,today,3,Creed,9,3
3,man,3,Creed,9,4
4,know,3,Creed,9,5
5,god,3,Creed,9,6
6,miss,3,Creed,9,7
7,let���s,3,Creed,9,8
8,think,3,Creed,9,9
9,still,3,Creed,9,10
0,one,3,Darryl,1,1
1,go,3,Darryl,1,2
2,block,3,Darryl,1,3
3,know,2,Darryl,1,4
4,man,2,Darryl,1,5
5,real,1,Darryl,1,6
6,name,1,Darryl,1,7
7,darryl,1,Darryl,1,8
8,philbin,1,Darryl,1,9
9,regis,1,Darryl,1,10
0,mike,10,Darryl,2,1
1,man,7,Darryl,2,2
2,know,7,Darryl,2,3
3,right,7,Darryl,2,4
4,get,5,Darryl,2,5
5,us,5,Darryl,2,6
6,need,5,Darryl,2,7
7,got,5,Darryl,2,8
8,lot,4,Darryl,2,9
9,union,4,Darryl,2,10
0,mike,15,Darryl,3,1
1,get,8,Darryl,3,2
2,man,8,Darryl,3,3
3,right,7,Darryl,3,4
4,got,7,Darryl,3,5
5,raise,5,Darryl,3,6
6,look,4,Darryl,3,7
7,need,4,Darryl,3,8
8,come,4,Darryl,3,9
9,yes,4,Darryl,3,10
0,dunder,5,Darryl,4,1
1,mifflin,5,Darryl,4,2
2,paper,4,Darryl,4,3
3,get,4,Darryl,4,4
4,call,4,Darryl,4,5
5,mike,4,Darryl,4,6
6,man,3,Darryl,4,7
7,go,3,Darryl,4,8
8,around,3,Darryl,4,9
9,thing,3,Darryl,4,10
0,da,12,Darryl,5,1
1,mike,11,Darryl,5,2
2,pounds,8,Darryl,5,3
3,go,7,Darryl,5,4
4,right,7,Darryl,5,5
5,know,6,Darryl,5,6
6,lost,5,Darryl,5,7
7,back,5,Darryl,5,8
8,name,5,Darryl,5,9
9,got,4,Darryl,5,10
0,something,7,Darryl,6,1
1,know,6,Darryl,6,2
2,right,6,Darryl,6,3
3,yum,6,Darryl,6,4
4,thing,5,Darryl,6,5
5,man,5,Darryl,6,6
6,get,5,Darryl,6,7
7,got,5,Darryl,6,8
8,could,5,Darryl,6,9
9,think,4,Darryl,6,10
0,good,14,Darryl,7,1
1,got,13,Darryl,7,2
2,one,13,Darryl,7,3
3,know,11,Darryl,7,4
4,let,10,Darryl,7,5
5,take,10,Darryl,7,6
6,say,9,Darryl,7,7
7,cool,8,Darryl,7,8
8,go,7,Darryl,7,9
9,come,7,Darryl,7,10
0,got,20,Darryl,8,1
1,man,20,Darryl,8,2
2,know,20,Darryl,8,3
3,gon,15,Darryl,8,4
4,good,14,Darryl,8,5
5,get,14,Darryl,8,6
6,would,11,Darryl,8,7
7,come,11,Darryl,8,8
8,want,11,Darryl,8,9
9,think,10,Darryl,8,10
0,gon,17,Darryl,9,1
1,man,16,Darryl,9,2
2,get,14,Darryl,9,3
3,know,13,Darryl,9,4
4,got,12,Darryl,9,5
5,right,12,Darryl,9,6
6,want,11,Darryl,9,7
7,going,10,Darryl,9,8
8,philly,10,Darryl,9,9
9,jim,10,Darryl,9,10
0,god,3,Erin,5,1
1,sorry,3,Erin,5,2
2,hi,3,Erin,5,3
3,--,3,Erin,5,4
4,thanks,3,Erin,5,5
5,erin,2,Erin,5,6
6,got,2,Erin,5,7
7,guys,2,Erin,5,8
8,place,2,Erin,5,9
9,wow,2,Erin,5,10
0,michael,20,Erin,6,1
1,andy,18,Erin,6,2
2,know,15,Erin,6,3
3,think,14,Erin,6,4
4,want,11,Erin,6,5
5,back,9,Erin,6,6
6,would,9,Erin,6,7
7,pam,9,Erin,6,8
8,thinking,8,Erin,6,9
9,kelly,7,Erin,6,10
0,gabe,20,Erin,7,1
1,get,18,Erin,7,2
2,michael,17,Erin,7,3
3,sorry,16,Erin,7,4
4,think,15,Erin,7,5
5,see,14,Erin,7,6
6,know,14,Erin,7,7
7,go,14,Erin,7,8
8,want,12,Erin,7,9
9,andy,11,Erin,7,10
0,andy,37,Erin,8,1
1,know,23,Erin,8,2
2,get,21,Erin,8,3
3,one,16,Erin,8,4
4,would,16,Erin,8,5
5,go,15,Erin,8,6
6,dwight,14,Erin,8,7
7,think,13,Erin,8,8
8,sorry,12,Erin,8,9
9,maybe,12,Erin,8,10
0,andy,38,Erin,9,1
1,know,22,Erin,9,2
2,get,19,Erin,9,3
3,sorry,19,Erin,9,4
4,got,16,Erin,9,5
5,pete,15,Erin,9,6
6,think,15,Erin,9,7
7,yes,14,Erin,9,8
8,right,11,Erin,9,9
9,good,11,Erin,9,10
0,would,10,Gabe,6,1
1,know,9,Gabe,6,2
2,right,8,Gabe,6,3
3,-,7,Gabe,6,4
4,way,6,Gabe,6,5
5,program,6,Gabe,6,6
6,sabre,5,Gabe,6,7
7,think,5,Gabe,6,8
8,ok,5,Gabe,6,9
9,everyone,5,Gabe,6,10
0,get,16,Gabe,7,1
1,know,14,Gabe,7,2
2,erin,13,Gabe,7,3
3,want,12,Gabe,7,4
4,back,11,Gabe,7,5
5,one,10,Gabe,7,6
6,think,10,Gabe,7,7
7,gon,9,Gabe,7,8
8,michael,9,Gabe,7,9
9,right,9,Gabe,7,10
0,know,13,Gabe,8,1
1,one,7,Gabe,8,2
2,gabe,7,Gabe,8,3
3,get,6,Gabe,8,4
4,think,6,Gabe,8,5
5,go,6,Gabe,8,6
6,going,6,Gabe,8,7
7,way,5,Gabe,8,8
8,man,5,Gabe,8,9
9,good,4,Gabe,8,10
0,erin,4,Gabe,9,1
1,still,3,Gabe,9,2
2,know,2,Gabe,9,3
3,'ve,2,Gabe,9,4
4,back,2,Gabe,9,5
5,would,2,Gabe,9,6
6,even,2,Gabe,9,7
7,one,2,Gabe,9,8
8,night,2,Gabe,9,9
9,hello,1,Gabe,9,10
0,good,8,Holly,4,1
1,know,6,Holly,4,2
2,look,4,Holly,4,3
3,get,4,Holly,4,4
4,kevin,4,Holly,4,5
5,hi,3,Holly,4,6
6,love,3,Holly,4,7
7,let,3,Holly,4,8
8,one,3,Holly,4,9
9,hello,3,Holly,4,10
0,michael,16,Holly,5,1
1,good,13,Holly,5,2
2,get,13,Holly,5,3
3,know,12,Holly,5,4
4,think,12,Holly,5,5
5,could,11,Holly,5,6
6,back,8,Holly,5,7
7,gon,8,Holly,5,8
8,go,8,Holly,5,9
9,work,7,Holly,5,10
0,michael,22,Holly,7,1
1,know,19,Holly,7,2
2,love,16,Holly,7,3
3,think,12,Holly,7,4
4,get,12,Holly,7,5
5,go,11,Holly,7,6
6,want,10,Holly,7,7
7,fine,9,Holly,7,8
8,together,8,Holly,7,9
9,gon,8,Holly,7,10
0,'d,6,Nellie,7,1
1,everyone,4,Nellie,7,2
2,job,3,Nellie,7,3
3,tell,3,Nellie,7,4
4,person,3,Nellie,7,5
5,sockee,3,Nellie,7,6
6,friend,3,Nellie,7,7
7,would,2,Nellie,7,8
8,go,2,Nellie,7,9
9,way,2,Nellie,7,10
0,right,18,Nellie,8,1
1,get,17,Nellie,8,2
2,yes,17,Nellie,8,3
3,let,16,Nellie,8,4
4,one,15,Nellie,8,5
5,would,14,Nellie,8,6
6,dwight,14,Nellie,8,7
7,go,13,Nellie,8,8
8,know,12,Nellie,8,9
9,little,11,Nellie,8,10
0,dwight,22,Nellie,9,1
1,know,18,Nellie,9,2
2,get,16,Nellie,9,3
3,yes,15,Nellie,9,4
4,one,14,Nellie,9,5
5,two,13,Nellie,9,6
6,pam,13,Nellie,9,7
7,andy,12,Nellie,9,8
8,good,10,Nellie,9,9
9,look,10,Nellie,9,10
0,hand,3,Clark,6,1
1,ha,2,Clark,6,2
2,alright,2,Clark,6,3
3,let,2,Clark,6,4
4,feel,2,Clark,6,5
5,want,2,Clark,6,6
6,baby,2,Clark,6,7
7,actually,1,Clark,6,8
8,consultant,1,Clark,6,9
9,got,1,Clark,6,10
0,know,22,Clark,9,1
1,got,18,Clark,9,2
2,right,17,Clark,9,3
3,mean,13,Clark,9,4
4,get,12,Clark,9,5
5,think,10,Clark,9,6
6,one,9,Clark,9,7
7,good,8,Clark,9,8
8,love,8,Clark,9,9
9,time,8,Clark,9,10
0,pam,4,Pete,5,1
1,fun,3,Pete,5,2
2,see,3,Pete,5,3
3,think,2,Pete,5,4
4,right,2,Pete,5,5
5,perfect,1,Pete,5,6
6,know,1,Pete,5,7
7,would,1,Pete,5,8
8,even,1,Pete,5,9
9,hilarious,1,Pete,5,10
0,little,2,Pete,6,1
1,alright,1,Pete,6,2
2,'you,1,Pete,6,3
3,sweet,1,Pete,6,4
4,guys,1,Pete,6,5
5,kind,1,Pete,6,6
6,'what,1,Pete,6,7
7,give,1,Pete,6,8
8,punch,1,Pete,6,9
9,back,1,Pete,6,10
0,right,14,Pete,9,1
1,andy,12,Pete,9,2
2,got,11,Pete,9,3
3,erin,10,Pete,9,4
4,know,9,Pete,9,5
5,go,8,Pete,9,6
6,want,7,Pete,9,7
7,sorry,6,Pete,9,8
8,real,6,Pete,9,9
9,come,6,Pete,9,10
