,word,frequency,character,season,order
1,right,42,Jim,3,2
2,think,33,Jim,3,3
3,dwight,32,Jim,3,4
4,good,31,Jim,3,5
5,get,27,Jim,3,6
6,a-wimowheh,27,Jim,3,7
7,go,25,Jim,3,8
8,got,22,Jim,3,9
9,pam,19,Jim,3,10
0,know,42,Jim,4,1
1,right,36,Jim,4,2
2,think,34,Jim,4,3
3,going,28,Jim,4,4
4,good,24,Jim,4,5
5,go,24,Jim,4,6
6,one,23,Jim,4,7
7,michael,22,Jim,4,8
8,would,22,Jim,4,9
9,great,21,Jim,4,10
0,know,68,Jim,5,1
1,right,57,Jim,5,2
2,dwight,33,Jim,5,3
3,michael,31,Jim,5,4
4,one,31,Jim,5,5
5,pam,30,Jim,5,6
6,going,26,Jim,5,7
7,think,25,Jim,5,8
8,let,25,Jim,5,9
9,gon,23,Jim,5,10
0,michael,65,Jim,6,1
1,know,61,Jim,6,2
2,think,50,Jim,6,3
3,right,50,Jim,6,4
4,go,45,Jim,6,5
5,pam,38,Jim,6,6
6,alright,32,Jim,6,7
7,good,28,Jim,6,8
8,would,27,Jim,6,9
9,gon,27,Jim,6,10
0,know,51,Jim,7,1
1,think,48,Jim,7,2
2,right,38,Jim,7,3
3,dwight,28,Jim,7,4
4,good,28,Jim,7,5
5,stop,28,Jim,7,6
6,go,27,Jim,7,7
7,got,25,Jim,7,8
8,one,24,Jim,7,9
9,would,22,Jim,7,10
0,know,80,Jim,8,1
1,right,65,Jim,8,2
2,think,47,Jim,8,3
3,dwight,46,Jim,8,4
4,one,36,Jim,8,5
5,go,36,Jim,8,6
6,going,32,Jim,8,7
7,alright,30,Jim,8,8
8,good,27,Jim,8,9
9,want,27,Jim,8,10
0,know,72,Jim,9,1
1,right,65,Jim,9,2
2,gon,43,Jim,9,3
3,got,38,Jim,9,4
4,pam,35,Jim,9,5
5,get,32,Jim,9,6
6,think,32,Jim,9,7
7,dwight,32,Jim,9,8
8,good,31,Jim,9,9
9,go,30,Jim,9,10
0,would,9,Pam,1,1
1,dwight,9,Pam,1,2
2,going,8,Pam,1,3
3,gon,8,Pam,1,4
4,michael,8,Pam,1,5
5,think,7,Pam,1,6
6,good,7,Pam,1,7
7,know,6,Pam,1,8
8,one,6,Pam,1,9
9,roy,6,Pam,1,10
0,know,48,Pam,2,1
1,michael,47,Pam,2,2
2,dwight,31,Pam,2,3
3,want,26,Pam,2,4
4,get,26,Pam,2,5
5,think,26,Pam,2,6
6,jim,23,Pam,2,7
7,god,22,Pam,2,8
8,one,21,Pam,2,9
9,kind,19,Pam,2,10
0,michael,44,Pam,3,1
1,know,44,Pam,3,2
2,jim,30,Pam,3,3
3,think,29,Pam,3,4
4,get,24,Pam,3,5
5,mean,23,Pam,3,6
6,one,23,Pam,3,7
7,go,21,Pam,3,8
8,dwight,20,Pam,3,9
9,good,19,Pam,3,10
0,michael,46,Pam,4,1
1,know,30,Pam,4,2
2,one,27,Pam,4,3
3,get,22,Pam,4,4
4,jim,18,Pam,4,5
5,going,16,Pam,4,6
6,dwight,16,Pam,4,7
7,gon,15,Pam,4,8
8,think,15,Pam,4,9
9,go,14,Pam,4,10
0,michael,55,Pam,5,1
1,know,34,Pam,5,2
2,get,31,Pam,5,3
3,good,31,Pam,5,4
4,jim,29,Pam,5,5
5,one,27,Pam,5,6
6,right,26,Pam,5,7
7,gon,23,Pam,5,8
8,back,20,Pam,5,9
9,new,19,Pam,5,10
0,michael,67,Pam,6,1
1,get,39,Pam,6,2
2,know,32,Pam,6,3
3,think,31,Pam,6,4
4,want,26,Pam,6,5
5,jim,25,Pam,6,6
6,going,25,Pam,6,7
7,yes,25,Pam,6,8
8,go,23,Pam,6,9
9,could,21,Pam,6,10
0,know,49,Pam,7,1
1,one,38,Pam,7,2
2,think,35,Pam,7,3
3,get,34,Pam,7,4
4,michael,34,Pam,7,5
5,go,22,Pam,7,6
6,dwight,21,Pam,7,7
7,going,21,Pam,7,8
8,office,20,Pam,7,9
9,jim,19,Pam,7,10
0,know,27,Pam,8,1
1,think,25,Pam,8,2
2,going,18,Pam,8,3
3,good,18,Pam,8,4
4,go,18,Pam,8,5
5,jim,17,Pam,8,6
6,would,15,Pam,8,7
7,right,14,Pam,8,8
8,gon,14,Pam,8,9
9,dwight,14,Pam,8,10
0,know,59,Pam,9,1
1,think,45,Pam,9,2
2,jim,38,Pam,9,3
3,us,30,Pam,9,4
4,get,30,Pam,9,5
5,great,29,Pam,9,6
6,got,29,Pam,9,7
7,dwight,28,Pam,9,8
8,want,26,Pam,9,9
9,sorry,26,Pam,9,10
0,want,4,Ryan,1,1
1,kind,2,Ryan,1,2
2,fine,2,Ryan,1,3
3,one,2,Ryan,1,4
4,would,2,Ryan,1,5
5,blue,2,Ryan,1,6
6,mean,2,Ryan,1,7
7,ryan,1,Ryan,1,8
8,howard,1,Ryan,1,9
9,temp,1,Ryan,1,10
0,know,15,Ryan,2,1
1,got,10,Ryan,2,2
2,think,9,Ryan,2,3
3,michael,9,Ryan,2,4
4,cool,8,Ryan,2,5
5,whoa,8,Ryan,2,6
6,go,7,Ryan,2,7
7,actually,6,Ryan,2,8
8,want,6,Ryan,2,9
9,would,6,Ryan,2,10
0,know,15,Ryan,3,1
1,kelly,12,Ryan,3,2
2,michael,10,Ryan,3,3
3,think,8,Ryan,3,4
4,sorry,8,Ryan,3,5
5,got,7,Ryan,3,6
6,would,7,Ryan,3,7
7,back,7,Ryan,3,8
8,get,7,Ryan,3,9
9,great,7,Ryan,3,10
0,michael,23,Ryan,4,1
1,know,20,Ryan,4,2
2,get,13,Ryan,4,3
3,want,13,Ryan,4,4
4,man,11,Ryan,4,5
5,go,11,Ryan,4,6
6,let,10,Ryan,4,7
7,ok,10,Ryan,4,8
8,right,10,Ryan,4,9
9,good,10,Ryan,4,10
0,get,11,Ryan,5,1
1,got,9,Ryan,5,2
2,guy,9,Ryan,5,3
3,see,8,Ryan,5,4
4,back,8,Ryan,5,5
5,look,8,Ryan,5,6
6,make,8,Ryan,5,7
7,'ve,7,Ryan,5,8
8,never,7,Ryan,5,9
9,want,7,Ryan,5,10
0,know,10,Ryan,6,1
1,guys,7,Ryan,6,2
2,think,7,Ryan,6,3
3,$,6,Ryan,6,4
4,something,5,Ryan,6,5
5,-,5,Ryan,6,6
6,want,5,Ryan,6,7
7,rather,4,Ryan,6,8
8,'ve,4,Ryan,6,9
9,thing,4,Ryan,6,10
0,know,11,Ryan,7,1
1,wuphf,9,Ryan,7,2
2,people,9,Ryan,7,3
3,things,8,Ryan,7,4
4,want,8,Ryan,7,5
5,think,7,Ryan,7,6
6,actually,7,Ryan,7,7
7,--,7,Ryan,7,8
8,good,6,Ryan,7,9
9,get,6,Ryan,7,10
0,know,20,Ryan,8,1
1,kelly,18,Ryan,8,2
2,right,14,Ryan,8,3
3,ca,13,Ryan,8,4
4,get,12,Ryan,8,5
5,would,11,Ryan,8,6
6,want,11,Ryan,8,7
7,make,8,Ryan,8,8
8,love,8,Ryan,8,9
9,think,8,Ryan,8,10
0,drake,4,Ryan,9,1
