id,speaker,season,count
271,DeAgnelo,7,1
272,DeAngelo,7,79
273,Dealer,2,5
274,Deangelo,7,171
275,Deangelo/Michael,7,2
276,Delivery Boy,2,2
277,Delivery Woman,2,3
278,Delivery man,2,5
279,Deliveryman,6,1
280,Denagelo,7,1
281,Denise,3,9
282,Dennis,9,3
283,Deposition Reporter,4,3
284,Devon,2,9
285,Diane,4,10
286,Diane Kelly,4,18
287,Dight,5,1
288,Director,9,13
289,Doctor,2,5
290,Doctor,6,3
291,Doctor,9,1
292,Documentary Crew Member,1,3
293,Donna,6,74
294,Donna,7,7
295,Donna Muraski,8,2
296,Doug,7,5
297,Doug [church member],7,1
298,Drive Thru Customer,9,1
299,Drummer,8,1
300,DunMiff/sys,4,6
301,Dwight,1,326
302,Dwight,2,1114
303,Dwight,3,939
304,Dwight,4,547
305,Dwight,5,1074
306,Dwight,6,811
307,Dwight,7,703
308,Dwight,8,946
309,Dwight,9,1069
310,Dwight ,3,1
311,Dwight ,5,1
312,Dwight & Andy,6,2
313,Dwight & Nate,7,1
314,Dwight [on phone],7,1
315,Dwight and Andy,5,1
316,Dwight and Andy,6,1
317,Dwight and Angela,6,1
318,Dwight and Erin,5,1
319,Dwight and Erin,7,1
320,Dwight and Michael,2,3
321,Dwight and Michael,3,1
322,Dwight and Michael,4,1
323,Dwight and Michael,5,1
324,Dwight and Roy,2,1
325,"Dwight, Erin, Jim & Kevin",8,1
326,"Dwight, Jim & Pam",6,1
327,"Dwight, Jim and Michael",6,1
328,Dwight.,6,1
329,Dwight:,3,1
330,DwightKSchrute,4,3
331,Ed,2,9
332,Ed,9,2
333,Edward R. Meow,2,7
334,Einsteins,8,1
335,Elderly Woman,8,1
336,Elizabeth,3,17
337,Elizabeth,4,3
338,Ellen,8,3
339,Emergency Operator,8,1
340,Employee,2,1
341,Employees,5,1
342,Employees except Dwight,7,1
343,Entire Prince family,5,1
344,Entire office,5,1
345,Eric,5,1
346,Eric,6,34
347,Erin,5,53
348,Erin,6,298
349,Erin,7,311
350,Erin,8,427
351,Erin,9,380
352,Erin and Irene,8,1
353,Erin and Kelly,7,1
354,Erin's Cell Phone,8,1
355,Ernesto,8,4
356,Esther,9,21
357,Evan,3,6
358,Everybody,1,8
359,Everybody,2,1
360,Everybody,3,4
361,Everybody,4,1
362,Everyone,2,2
363,Everyone,3,5
364,Everyone,4,4
365,Everyone,5,5
366,Everyone,6,14
367,Everyone,7,1
368,Everyone,8,13
369,Everyone,9,15
370,Everyone watching,5,1
371,Ex-client,4,17
372,Fake Jim,9,6
373,Fake Stanley,6,1
374,Fannie,9,19
375,Fast Food Worker,9,1
376,Female Applicant,8,2
377,Female Athlead Employee,9,2
378,Female Intern,6,2
379,Female Shareholder,6,1
380,Female church member,7,1
381,Female church member [to Michael],7,1
382,Female intern,6,1
383,Female worker,2,1
384,Financial Guy,5,11
385,Finger Lakes Guy,7,1
386,Fourth Shareholder,6,1
387,Frank,9,8
388,Fred,7,9
389,Fred Henry,7,1
390,Friend,5,5
391,Front Desk Clerk,6,10
392,GPS,4,4
393,Gabe,6,86
394,Gabe,7,211
395,Gabe,8,119
396,Gabe,9,20
397,Gabe/Kelly/Toby,8,1
398,Gabor,9,3
399,German Minister,9,3
400,Gideon,8,2
401,Gil,2,2
402,Gil,3,4
403,Girl,5,1
404,Girl,7,9
405,Girl,8,4
406,Girl acting Pregnant,2,1
407,Girl at table,6,2
408,Girl in 2nd club,4,5
409,Girl in Club,4,5
410,Girls,3,1
411,Glen,6,1
412,Glenn,8,4
413,Glenn,9,2
414,Graphics guy,4,10
415,Grotti,6,30
416,Group,3,6
417,Group,5,2
418,Group,6,2
419,Group,8,5
420,Group,9,25
421,Group chant,2,1
422,"Group: Dunder Mifflin!
Andy: Andy Bernard presents: Summer Softball Epic Fails! [Kevin swings bat on screen, fart noise follows] Fail. [repeats] Fail",9,1
423,Guy,2,4
424,Guy,3,4
425,Guy,5,4
426,Guy,7,12
427,Guy,9,5
428,Guy At Bar,2,2
429,Guy at bar,2,1
430,Guy at table,5,3
431,Guy buying doll,5,1
432,Guy in audience,5,2
433,Guys in breakroom,9,1
434,Gwenneth,6,2
435,Gym Instructor,6,1
436,Gym instructor,6,2
437,HCT,9,14
438,HCT Member #1,9,1
439,HCT Member #2,9,2
440,HCT Member #3,9,10
441,Hank,2,5
442,Hank,4,7
443,Hank,5,17
444,Hank,6,1
445,Hank,7,7
446,Hank,8,4
447,Hank,9,4
448,Hank [the security guard],5,1
449,Hank the Security Guard,2,5
450,Hannah,3,23
451,Harry,8,25
452,Harvey,3,7
453,Hayworth's waiter,6,4
454,Helen,7,5
455,Helene,6,42
456,Helene,7,5
457,Helene,9,2
458,Henry,9,3
459,Hide,6,4
460,Hide,8,2
461,Hide,9,8
462,Holly,4,73
463,Holly,5,270
464,Holly,7,265
465,Holly & Darryl,5,1
466,Holly & Michael,5,1
467,Holly's Dad,7,5
468,Holly's Mom,7,4
469,Holy,4,1
470,Holy,7,1
471,Hooter's Girls,2,1
472,Hospital employee,6,8
473,Host,8,28
474,Hostess,2,1
475,Hostess,6,1
476,Hot Dog Guy,7,5
477,Hotel Employee,6,13
478,Hotel Manager,6,4
479,Hunter,3,8
480,Hunter's CD,4,1
481,I.D. Photographer,2,1
482,IT Tech Guy,4,3
483,Improv Teacher,2,26
484,Intern,4,5
485,Investor,9,1
486,Ira,2,9
487,Irene,8,22
488,Isaac,5,7
489,Isaac,9,3
490,Isabel,6,29
491,Isabelle,6,9
492,JIM9334,5,2
493,JIM9334 [screen name],5,1
494,JIm,2,1
495,Jada,7,22
496,Jake,2,27
497,Jake,8,1
498,Jakey,9,4
499,Jamie,3,6
500,Jan,1,38
501,Jan,2,285
502,Jan,3,298
503,Jan,4,214
504,Jan,5,64
505,Jan,7,17
506,Jan,9,33
507,Jan [on phone],4,1
508,Jeb,9,12
509,Jerome Bettis,3,4
510,Jerry,6,14
511,Jessica,5,3
512,Jessica,8,53
513,Jessica Alba,5,2
514,Jim,1,285
515,Jim,2,905
516,Jim,3,783
517,Jim,4,684
518,Jim,5,875
519,Jim,6,928
520,Jim,7,687
521,Jim,8,869
522,Jim,9,798
523,Jim ,5,2
524,Jim & Dwight,9,2
525,Jim & Pam,6,2
526,Jim and Dwight,2,1
527,Jim and Pam,2,1
528,Jim and Pam,5,1
529,Jim and Pam,7,2
530,Jim's Dad,7,1
531,Jim's voicemail,2,1
532,"Jim, Josh, and Dwight",3,1
533,"Jim, Pam, Michael and Dwight",5,2
534,Jo,6,137
535,Jo,7,57
536,Jo Bennett,6,1
537,Joan,9,5
538,Jordan,7,13
539,Josh,2,11
540,Josh,3,53
541,Julia,5,13
542,Julie,6,12
543,Julius,3,3
544,Julius,9,8
545,Julius Irving,9,1
546,Justin,4,14
547,Justine,7,2
548,Justine,8,3
549,Karen,3,293
550,Karen,4,25
551,Karen,5,22
552,Karen,7,1
553,Kathy,6,3
554,Kathy,8,7
555,Katy,1,73
556,Katy,2,25
557,Keena Gifford,6,6
558,Kelly,1,4
559,Kelly,2,115
560,Kelly,3,176
561,Kelly,4,95
562,Kelly,5,156
563,Kelly,6,120
564,Kelly,7,153
565,Kelly,8,123
566,Kelly,9,14
567,Kelly and Erin,6,1
568,Kelly and Erin,7,1
569,Kelly's Father,3,3
570,Kelly's Mom,3,5
571,Kendall,5,8
572,Kenny,3,11
573,Kenny,8,5
574,Kenny,9,1
575,Kevin,1,30
576,Kevin,2,157
577,Kevin,3,212
578,Kevin,4,141
579,Kevin,5,187
580,Kevin,6,228
581,Kevin,7,240
582,Kevin,8,247
583,Kevin,9,266
584,Kevin & Andy,5,1
585,Kevin & Meredith,8,1
586,Kevin & Oscar,2,1
587,Kevin's computer,2,1
588,Kid,2,3
589,Kid,4,2
590,Kid,6,1
591,Kid,7,1
592,Kids,2,2
593,Kids,6,3
594,Kids,7,1
595,Lab Tech,2,3
596,Lady,3,2
597,Lady,7,2
598,Lady,8,5
599,Lady Blogger,8,1
600,Larry,3,2
601,Larry Myers,4,6
602,Lauren,8,11
603,Laurie,6,5
604,Lawyer,5,2
605,Lawyer,6,11
606,Lefevre,6,11
607,Leo,5,3
608,Lester,4,26
609,Lily,5,6
610,Limo Driver,6,2
611,Limo Driver,9,2
612,Linda,2,5
613,Linda,5,2
614,Liquor Store Clerk,2,2
615,Little Girl,6,1
616,Little Girl,7,2
617,Lonnie,9,2
618,Lonny,1,5
619,Lonny,2,3
620,Lonny,3,12
621,Luke,7,18
622,Lynn,5,16
623,M ichael,3,1
624,MIchael,3,1
625,Madge,1,3
626,Madge,2,2
627,Madge,3,2
628,Magician,8,10
629,Maguire,4,1
630,Malcolm,9,3
631,Male Applicant 1,8,3
632,Male Applicant 2,8,1
633,Male church member,7,3
634,Male voice,3,1
635,Man,1,1
636,Man,2,7
637,Man,3,8
638,Man,4,9
639,Man,5,3
640,Man,7,13
641,Man,8,2
642,Man,9,7
643,Man 1,9,1
644,Man 2,9,2
645,Man 3,9,1
646,Man from Buffalo,5,3
647,Man in Video,2,1
648,Man in line,6,1
649,Man on Phone,1,10
650,Man on phone,5,2
651,Manager,2,10
652,Manager,4,1
653,Manager,7,3
654,Marcy,3,3
655,Margaret,4,8
656,Marie,5,5
657,Mark,2,2
658,Mark,5,2
659,Mark,9,21
660,Mark McGrath,9,4
661,Martin,3,18
662,Mary-Beth,2,17
663,Master,2,9
664,Matt,6,9
665,Maurie,6,10
666,Mee-Maw,7,1
667,MeeMaw,7,1
668,Megan,6,3
669,Megan,8,7
670,Melissa,2,17
671,Melissa,3,6
672,Melvina,9,5
673,Mema,6,13
674,Member,7,2
675,Men,2,1
676,Meredith,1,18
677,Meredith,2,41
678,Meredith,3,60
679,Meredith,4,62
680,Meredith,5,115
681,Meredith,6,82
682,Meredith,7,70
683,Meredith,8,83
684,Meredith,9,114
685,Meredith & Kelly,8,1
686,Meredith's Vet,2,3
687,"Meredith, Creed, Oscar and Matt",6,1
688,Meridith,7,2
689,Merv,7,10
690,Merv Bronte,7,1
691,Mexican Man,7,4
692,Micael,4,1
693,Micahel,4,1
694,Micahel,7,3
695,Michae,4,2
696,Michael,1,642
697,Michael,2,2324
698,Michael,3,1989
699,Michael,4,1633
700,Michael,5,2163
